dataset,seed,method,k,train,test
CIFAR-100,-1,Baseline,1024,0.88222,0.8777
CIFAR-100,0,Simple,50,0.82894,0.8176
CIFAR-100,0,Simple,100,0.85108,0.8397
CIFAR-100,0,Simple,200,0.8657,0.8582
CIFAR-100,0,Simple,300,0.87102,0.8646
CIFAR-100,0,Simple,500,0.87634,0.8689
CIFAR-100,0,Simple,700,0.87952,0.8745
CIFAR-100,0,Simple,900,0.8815,0.8764
CIFAR-100,0,Simple,1000,0.88196,0.8766
CIFAR-100,0,FAIR,50,0.84774,0.8406
CIFAR-100,0,FAIR,100,0.86066,0.8538
CIFAR-100,0,FAIR,200,0.86846,0.8623
CIFAR-100,0,FAIR,300,0.87124,0.8652
CIFAR-100,0,FAIR,500,0.87558,0.8706
CIFAR-100,0,FAIR,700,0.87922,0.8746
CIFAR-100,0,FAIR,900,0.88106,0.8757
CIFAR-100,0,FAIR,1000,0.88188,0.8767
CIFAR-100,0,MSDA,50,0.79696,0.7929
CIFAR-100,0,MSDA,100,0.84518,0.8409
CIFAR-100,0,MSDA,200,0.8662,0.8626
CIFAR-100,0,MSDA,300,0.87618,0.8711
CIFAR-100,0,MSDA,500,0.8791,0.8761
CIFAR-100,0,MSDA,700,0.88272,0.8788
CIFAR-100,0,MSDA,900,0.88274,0.8778
CIFAR-100,0,MSDA,1000,0.88166,0.8775
CIFAR-100,0,Optimized,50,0.86792,0.861
CIFAR-100,0,Optimized,100,0.88072,0.8725
CIFAR-100,0,Optimized,200,0.8854,0.8787
CIFAR-100,0,Optimized,300,0.88696,0.882
CIFAR-100,0,Optimized,500,0.88784,0.8834
CIFAR-100,0,Optimized,700,0.8875,0.8836
CIFAR-100,0,Optimized,900,0.88624,0.88
CIFAR-100,0,Optimized,1000,0.88334,0.8781
CIFAR-100,1,Simple,50,0.82718,0.8195
CIFAR-100,1,Simple,100,0.8497,0.8413
CIFAR-100,1,Simple,200,0.8643,0.8567
CIFAR-100,1,Simple,300,0.87102,0.8636
CIFAR-100,1,Simple,500,0.87692,0.8694
CIFAR-100,1,Simple,700,0.88012,0.8736
CIFAR-100,1,Simple,900,0.8811,0.8764
CIFAR-100,1,Simple,1000,0.88198,0.8773
CIFAR-100,1,FAIR,50,0.84806,0.8422
CIFAR-100,1,FAIR,100,0.8612,0.8535
CIFAR-100,1,FAIR,200,0.86826,0.8613
CIFAR-100,1,FAIR,300,0.8719,0.8651
CIFAR-100,1,FAIR,500,0.87582,0.8708
CIFAR-100,1,FAIR,700,0.8785,0.8734
