dataset,k,lam,train,test
CIFAR-100,50,0.1,0.7997,0.7943
CIFAR-100,100,0.01,0.84506,0.8415
CIFAR-100,200,0.1,0.86582,0.8627
CIFAR-100,500,0.01,0.88058,0.8763
CIFAR-100,1000,0.05,0.88232,0.8783
CUB-200,50,0.05,0.8875542208875542,0.8555402140144978
CUB-200,100,0.05,0.9085752419085752,0.880738695201933
CUB-200,200,0.3,0.9172505839172506,0.8888505350362443
CUB-200,500,0.6,0.9160827494160827,0.8936831204694512
CUB-200,1000,0.1,0.9165832499165832,0.8897134967207456
ImageNet,50,0.1,0.7447296098010642,0.7199
ImageNet,100,0.1,0.8038624160628552,0.78028
ImageNet,200,0.6,0.8267618507189148,0.80394
ImageNet,500,0.1,0.8385698351581019,0.81782
ImageNet,1000,0.3,0.8420994296606141,0.82024
