dataset,seed,k,train,test
CIFAR-100,0,50,0.8685,0.8607
CIFAR-100,0,100,0.8807,0.8721
CIFAR-100,0,200,0.88518,0.8793
CIFAR-100,0,300,0.88706,0.8816
CIFAR-100,0,500,0.88852,0.8828
CIFAR-100,0,700,0.88758,0.8837
CIFAR-100,0,900,0.88618,0.8807
CIFAR-100,0,1000,0.8837,0.8782
CIFAR-100,1,50,0.86836,0.8614
CIFAR-100,1,100,0.88052,0.8731
CIFAR-100,1,200,0.88554,0.8787
CIFAR-100,1,300,0.8869,0.8819
CIFAR-100,1,500,0.88758,0.8826
CIFAR-100,1,700,0.88812,0.8822
CIFAR-100,1,900,0.88614,0.8801
CIFAR-100,1,1000,0.8842,0.8786
CIFAR-100,2,50,0.86804,0.86
CIFAR-100,2,100,0.88024,0.8715
CIFAR-100,2,200,0.886,0.881
CIFAR-100,2,300,0.88684,0.8815
CIFAR-100,2,500,0.88784,0.8828
CIFAR-100,2,700,0.88784,0.8829
CIFAR-100,2,900,0.8862,0.8796
CIFAR-100,2,1000,0.88396,0.8777
CIFAR-100,3,50,0.86842,0.8617
CIFAR-100,3,100,0.88034,0.8715
CIFAR-100,3,200,0.88578,0.8783
CIFAR-100,3,300,0.88654,0.881
CIFAR-100,3,500,0.8884,0.8826
CIFAR-100,3,700,0.8877,0.8817
CIFAR-100,3,900,0.88552,0.8799
CIFAR-100,3,1000,0.88368,0.8779
CIFAR-100,4,50,0.86836,0.8613
CIFAR-100,4,100,0.8808,0.872
CIFAR-100,4,200,0.88488,0.8786
CIFAR-100,4,300,0.88662,0.8812
CIFAR-100,4,500,0.88816,0.8826
CIFAR-100,4,700,0.88794,0.883
CIFAR-100,4,900,0.8863,0.8807
CIFAR-100,4,1000,0.88392,0.8778
CUB-200,0,50,0.9521187854521188,0.8967897825336555
CUB-200,0,100,0.9519519519519519,0.9030031066620642
CUB-200,0,200,0.9476142809476142,0.9016223679668622
CUB-200,0,300,0.9442776109442776,0.901449775629962
CUB-200,0,500,0.9391057724391058,0.9017949603037625
CUB-200,0,700,0.9329329329329329,0.8992060752502589
CUB-200,0,900,0.9259259259259259,0.8942008974801519
CUB-200,0,1000,0.9194194194194194,0.8909216430790473
CUB-200,1,50,0.9511177844511178,0.8957542285122541
CUB-200,1,100,0.950950950950951,0.902140144977563
CUB-200,1,200,0.9462796129462796,0.9017949603037625
CUB-200,1,300,0.9436102769436103,0.9009319986192613
CUB-200,1,500,0.9384384384384384,0.901449775629962
CUB-200,1,700,0.9320987654320988,0.8979979288919572
CUB-200,1,900,0.9259259259259259,0.8947186744908526
CUB-200,1,1000,0.918918918918919,0.890749050742147
